account_id,segment,plan,tenure_months,seats,mrr_usd,logins_last_90d,support_tickets_90d,days_since_last_login,nps_score,renewal_date,churned,cancellation_reason
ACC-10021,Mid-Market,Standard,25,14,$221.56,27,3,2,6,2026-09-27,0,
ACC-10022,Enterprise,Standard,21,22,235.12,27,2,15,9,Mar 2026,0,
ACC-10023,Mid-Market,Premium,4,16,$644.79,61,0,17,6,07/11/2026,0,
ACC-10024,Mid-Market,Standard,21,26,271.35,12,2,12,10,21-Apr-2026,0,
ACC-10025,SMB,Enterprise,54,2,"$1,240.50",4,1,17,6,2026-07-30,1,price
ACC-10026,Mid-Market,Basic,55,17,68.59,0,6,0,7,27-May-2027,0,
ACC-10027,Mid-Market,Enterprise,8,4,1509.44,45,2,7,7,2026-06-05,0,
ACC-10028,Mid-Market,Premium,59,29,628.02,4,1,4, ,2026-04-03,0,
ACC-10029,smb,Basic,10,11,60.92,0,1,3,7,Mar 2026,0,
ACC-10030,SMB,Basic,10,16,64.99,0,1,5,9,2027-02-11,0,
ACC-10031,SMB,Standard,14,17,202.75, ,5,16,6,01/27/2027,0,
ACC-10032,SMB,Standard,6,30,285.08,35,4,7,5,05-Jun-2027,0,
ACC-10033,SMB,Standard,26,9,171.81,30,0,18,10,May 2026,0,
ACC-10034,Mid-Market,Premium,12,7,485.07,28,0,7,5,02-Jul-2026,0,
ACC-10035,SMB,Premium,14,2,433.30,49,8,6,7,Apr 2027,0,
ACC-10036,Mid-Market,Premium,21,1,433.11,37,5,28,3,2027-04-28,0,
ACC-10037,Mid-Market,Standard,23,29,284.67,21,5,2,4,Feb 2026,1,budget cut
ACC-10038,Mid-Market,Basic,21,25,$92.03,5,0,2,5,01/07/2027,0,
ACC-10039,SMB,Basic,43,2,$55.20,8,2,11,6,Oct 2026,1,price
ACC-10040,SMB,Premium,1,31,684.73,49,1,49,7,07-Feb-2027,0,
ACC-10041,Mid-Market,Standard,45,7,199.54,,0,12,9,10-Oct-2026,0,
ACC-10042,Enterprise,Basic,3,19,$64.02,16,1,32,null,Oct 2026,1,budget cut
ACC-10043,SMB,Basic,18,2,50.09,8,0,7,6,30-Dec-2026,0,
ACC-10044,SMB,Basic,18,19,69.39,11,3,14,null,11/09/2026,0,
ACC-10045,Enterprise,Standard,29,51,300.46,62,0,15,10,Sep 2026,0,
ACC-10046,Enterprise, Standard,29,13,199.90,68,2,32,7,Oct 2026,0,
ACC-10047,SMB,Basic,56,5,$62.08,21,0,26,,Aug 2026,0,
ACC-10048,SMB,Standard,9,23,$222.67,34,0,1,10,Mar 2026,0,
ACC-10049,Mid-Market,Premium,59,14,562.56,33,0,7,6,22-May-2027,0,
ACC-10050,Mid-Market,Basic,24,5,52.60,4,0,1,-,2026-08-08,0,
ACC-10051,Mid-Market,Enterprise,48,7,1650.56,49,0,15,8,2026-04-10,0,
ACC-10052,SMB,Basic,14,35,78.22,16,3,4,,Aug 2026,0,
ACC-10053,SMB,Basic,32,10,$68.66,14,1,31,5,Nov 2026,1,budget cut
ACC-10054,SMB,Basic,10,15,$75.34,23,1,15,7,05/12/2027,0,
ACC-10055,SMB,Premium,480,17,675.89,21,0,7,10,12/31/2026,0,
ACC-10056,SMB,Standard,16,3,188.92,93,0,18,7,02/24/2026,0,
ACC-10057,SMB,Basic,42,3,$55.59,10,1,16,7,Nov 2026,0,
ACC-10058,Enterprise,Standard,24,17,225.26,16,2,15,n/a,May 2026,0,
ACC-10059,SMB,Enterprise,11,7,1357.68,32,1,11,8,Mar 2027,0,
ACC-10060,Enterprise,Basic,48,153,259.90,12,2,9,3,2026-01-22,1,budget cut
ACC-10061,Mid-Market,Standard,4,16,241.04,9,2,55,4,05/09/2026,1,missing feature
ACC-10062,SMB,Standard,2,4,179.69,62,1,3,2,12/03/2026,0,
ACC-10063,SMB,Basic,72,11,69.28, ,2,8,8,03/07/2026,0,
ACC-10064,SMB,Premium,3,7,402.07,25,1,32,4,01/22/2027,1,price
ACC-10065,SMB,PREMIUM,23,56,"$1,018.44",42,1,26,7,2026-12-07,0,
ACC-10066,SMB,Standard,41,12,$223.42,43,5,27,-,2026-03-12,1,budget cut
ACC-10067,Mid-Market,Basic,32,11,74.65,17,3,17,8,May 2027,1,switched vendor
ACC-10068,Mid-Market,Basic,10,5,47.55,30,0,40,10,2027-01-03,1,price
ACC-10069,Mid-Market,Premium,8,6,508.30,n/a,0,0,7,01-Feb-2027,1,price
ACC-10070,SMB,Standard,23,8,$163.35,10,2,1,8,15-Oct-2026,0,
ACC-10071,Mid-Market,Standard,13,16,$224.45,47,1,11,N/A,20-Jan-2027,0,
ACC-10072,Mid-Market,Basic,48,9,$53.53,19,1,3,5,04/06/2026,0,
ACC-10073,SMB,Standard,24,2,$181.45,76,1,6,5,Aug 2026,0,
ACC-10074,Mid-Market,Basic,43,14,$72.97,15,3,7,N/A,24-Apr-2027,0,
ACC-10075,Mid-Market,Standard,24,8,163.91,19,3,23,7,Sep 2026,0,
ACC-10076,Mid-Market,Premium,61,1,373.19,37,1,0,2,Apr 2027,0,
ACC-10077,SMB,Basic,17,6,$62.46,16,3,11,3,2027-05-28,0,
ACC-10078,SMB ,Premium,16,2,$468.09,12,2,7,6,2027-02-10,0,
ACC-10079,SMB,Standard,1,3,190.64,70,1,10,-,09/30/2026,0,
ACC-10080,SMB,Premium,40,78,"$1,278.73",39,2,24,5,04-Jan-2026,0,
ACC-10081,Mid-Market,Enterprise,33,2,1509.39,30,0,8,8,2026-06-10,0,
ACC-10082,SMB,Premium,21,3,493.52,65,2,1,4,04/24/2027,0,
ACC-10083,Mid-Market,Standard,18,7,182.46,28,0,32,N/A,2026-12-08,0,
ACC-10084,SMB,Standard,18,2,$143.03,41,7,0,10,2026-01-19,0,
ACC-10085,SMB,Basic,19,5,$60.15,3,0,37,8,Apr 2026,1,switched vendor
ACC-10086,SMB,Basic,39,11,62.84,2,2,35,5,Oct 2026,1,budget cut
ACC-10087,Enterprise,Premium,18,28,$806.07,24,7,17,5,Feb 2027,0,
ACC-10088,SMB,Basic,17,48,98.14,5,0,25,10,04/11/2027,0,
ACC-10089,SMB,Standard,20,65,$332.63,4,0,45,10,2026-05-15,0,
ACC-10090,smb,PREMIUM,30,6,425.42,53,0,23,3,Jun 2027,0,
ACC-10091,Mid-Market,Basic,1,44,116.37,16,0,41,5,Feb 2027,1,switched vendor
ACC-10092,SMB,Basic,23,15,58.57,14,3,6,n/a,Jun 2027,0,
ACC-10093,SMB,Basic,41,13,68.78,12,0,28,5,01-Aug-2026,0,
ACC-10094,SMB,Standard,28,18,$231.58,32,4,6,9,05/02/2027,0,
ACC-10095,Mid-Market,Premium,3,70,"$1,260.21",17,2,1,10,2026-07-16,0,
ACC-10096,SMB,Enterprise,2,6,1514.84,44,4,2,5,2026-01-12,0,
ACC-10097,smb, Basic,18,38,95.53,16,1,41,4,05/06/2027,1,switched vendor
ACC-10098,Mid-Market,Premium,39,10,496.38,36,1,7,null,2026-03-25,0,
ACC-10099,Mid-Market,Standard,10,11,null,23,0,24, ,30-Jul-2026,1,budget cut
ACC-10100,SMB,Premium,25,8,536.22,17,1,18,10,2026-12-21,0,
ACC-10101,SMB,Standard,1,13,187.69,61,1,0,null,Jul 2026,0,
ACC-10102,SMB, Basic,39,4,$53.30,7,4,1,9,12/25/2026,0,
ACC-10103,SMB,Standard,21,40,304.42,42,5,4,4,2027-06-02,1,
ACC-10104,Mid-Market,Standard,17,6,$188.91,26,3,6,5,May 2027,0,
ACC-10105,SMB,Basic,39,7,56.33,3,0,59,8,2026-10-10,1,missing feature
ACC-10106,Mid-Market, Premium,20,16,$511.51,76,1,20,4,Mar 2027,0,
ACC-10107,SMB,Standard,33,9,195.81,34,3,18,4,05/03/2026,0,
ACC-10108,Enterprise,STANDARD,30,57,360.82,25,7,24,5,Jun 2026,1,switched vendor
ACC-10109, SMB,Standard,41,4,150.05,23,0,7,1,07/02/2026,0,
ACC-10110,smb,Basic,33,12,$58.58,16,1,1,5,31-Dec-2026,0,
ACC-10111,Enterprise,Standard,20,5,$199.30,57,1,10,10,2026-03-02,0,
ACC-10112,SMB,Basic,24,10,$61.92,22,2,16,2,07/31/2026,0,
ACC-10113,SMB,Basic,29,2,46.52,9,0,3,2,Nov 2026,1,missing feature
ACC-10114,SMB,Premium,39,26,667.89,33,7,4,7,May 2026,0,
ACC-10115,Mid-Market,Standard,43,11,$184.89,33,1,27,9,24-Jun-2026,0,
ACC-10116,SMB,Standard,24,9,$170.17,39,1,12,6,02/24/2027,0,
ACC-10117,mid-market,Basic,27,51,$120.08,13,5,6,6,01-Oct-2026,0,
ACC-10118,SMB,Basic,38,24,72.99,18,0,6,6,06-Jun-2026,0,
ACC-10119,SMB,Basic,29,24,79.22,21,0,9,10,2026-04-13,0,
ACC-10120,Mid-Market,Basic,20,7,$68.95,18,1,19,7,2027-05-26,0,
ACC-10121,Mid-Market,Premium,24,24,$686.81,28,0,0,null,May 2027,0,
ACC-10122,smb,Basic,30,19,$77.58,25,0,7,5,04-Apr-2026,0,
ACC-10123,SMB,Standard,16,3,$187.28,68,2,8,,09/16/2026,0,
ACC-10124,SMB,Premium,14,2,455.39,23,2,14,null,05/20/2026,0,
ACC-10125,Mid-Market,Basic,1,7,49.24,9,0,9,5,04/10/2026,0,
ACC-10126,SMB,Basic,27,9,70.57,7,1,24,6,05-Apr-2026,1,budget cut
ACC-10127,Mid-Market,Standard,20,43,$280.26,62,2,0,8,Dec 2026,0,
ACC-10128,Mid-Market,Premium,18,37,714.35,66,0,35,7,2026-11-05,0,
ACC-10129,SMB,Basic,20,2,59.63,1,1,11,10,Sep 2026,0,
ACC-10130,SMB,Basic,8,12,72.09,14,0,49,7,11/13/2026,1,switched vendor
ACC-10131,SMB,Premium,18,1,450.11,19,0,0,5,08-Nov-2026,0,
ACC-10132, SMB,Basic,21,3,49.33,0,0,2,7,2027-06-18,0,
ACC-10133,SMB,Premium,15,1,,52,0,12,7,May 2027,0,
ACC-10134,SMB,Basic,42,15,79.49,18,4,20,N/A,03-Jun-2027,1,switched vendor
ACC-10135,SMB,Basic,46,5,65.40,11,2,56,10,05/25/2027,0,
ACC-10136,Mid-Market,STANDARD,33,10,$202.09,52,2,10,5,19-Oct-2026,0,
ACC-10137,Mid-Market,Standard,34,11,$206.33,24,1,12,4,Jan 2026,0,
ACC-10138,SMB,Premium,41,5,424.06,45,0,22,9,23-Jun-2026,0,
ACC-10139,Mid-Market,Standard,33,17,230.71,17,2,23,10,08-Jul-2026,0,
ACC-10140,SMB,Basic,7,6,52.39,14,0,9,9,Nov 2026,0,
ACC-10141,SMB,Enterprise,37,2,N/A,50,1,6, ,Jun 2026,0,
ACC-10142,SMB,Basic,1,2,$50.42,6,5,24,6,26-Mar-2027,1,switched vendor
ACC-10143,SMB,Premium,13,46,$837.43,29,2,42,8,Jan 2026,1,missing feature
ACC-10144,SMB,Premium,35,5,$411.20,15,1,7,n/a,01-Dec-2026,0,
ACC-10145,SMB,Standard ,7,11,182.93,18,0,20,9,2026-05-13,0,
ACC-10146,SMB,Premium,19,6,459.49,17,0,2,10,04/05/2027,0,
ACC-10147,Mid-Market,Standard,38,11,186.14,27,0,69,6,01-Sep-2026,1,
ACC-10148,Enterprise,Standard,18,15,189.81,24,0,0,7,06/24/2026,0,
ACC-10149,Mid-Market,Standard,7,3,176.49,61,4,13,7,11/07/2026,0,
ACC-10150,Enterprise,basic,54,99,149.15,12,3,2,10,05/30/2026,1,
ACC-10151,SMB,Basic,24,12,61.76,18,0,49,4,11/15/2026,1,
ACC-10152,Mid-Market,Basic,30,9,54.00,6,5,21,10,05-Jul-2026,1,missing feature
ACC-10153,SMB,Basic ,14,10,64.40,1,0,3,5,04/07/2027,0,
ACC-10154,SMB,Standard,16,8,154.92,0,2,12,6,07/02/2026,0,
ACC-10155,Mid-Market,Standard,19,54,369.27,10,6,0,10,12/17/2026,0,
ACC-10156,SMB,PREMIUM,38,8,530.01,27,1,7,4,19-Jan-2026,0,
ACC-10157, SMB,Standard ,11,22,250.28,37,1,29,6,2026-07-30,0,
ACC-10158,SMB,Premium,53,42,$888.51,5,5,25,3,Mar 2027,1,switched vendor
ACC-10159,SMB,Enterprise ,32,32,n/a,55,0,0,3,04/10/2026,0,
ACC-10160,SMB,Premium,43,10,$453.12,34,1,17,5,2027-03-02,0,
ACC-10161,Enterprise,Premium,53,18,$540.32,58,2,34,5,05/18/2026,0,
ACC-10162,SMB,Standard,37,6,172.65,29,0,2,4,08/23/2026,0,
ACC-10163,SMB,Premium,43,2,459.60,2,0,41,6,10/09/2026,0,
ACC-10164,SMB,basic,21,18,78.39,19,2,2,8,05/15/2026,0,
ACC-10165,SMB,Premium,29,10,$469.11,60,0,33,9,Feb 2027,0,
ACC-10166,SMB,Basic,30,5,48.74,27,2,7,9,16-Jun-2027,0,
ACC-10167,enterprise,Standard,33,1,164.99,60,3,45,4,01/18/2026,1,
ACC-10168,Mid-Market,Standard,1,7,203.48,38,2,1,6,2026-12-10,0,
ACC-10169,SMB,Standard,26,48,328.28,0,1,6,9,02/28/2027,1,switched vendor
ACC-10170,Enterprise,Basic,11,16,68.36,9,2,16, ,Feb 2026,1,budget cut
ACC-10171,SMB,Basic,32,10,63.04,20,0,11,8,08/10/2026,0,
ACC-10172,SMB,Enterprise,20,3,1535.29,10,0,30,3,Sep 2026,0,
ACC-10173,Mid-Market,Enterprise,27,5,1503.52,54,3,30,2,2026-09-21,0,
ACC-10174,SMB,Enterprise,49,15,1572.11,0,0,56,-,08/17/2026,0,
ACC-10175,SMB,Basic,67,3,$56.92,6,0,49,4,May 2027,1,price
ACC-10176, Mid-Market,Basic,1,24,$77.07,N/A,5,1,9,08/14/2026,0,
ACC-10177,SMB,Basic,23,12,$60.95,N/A,1,79,N/A,02/05/2027,1,price
ACC-10178,Enterprise,Standard,32,2,144.02,73,5,3,7,12-Jun-2026,0,
ACC-10179,MID-MARKET,Standard,40,4,$159.12,66,3,2,9,2026-08-03,0,
ACC-10180,SMB,Premium,24,2,424.83,33,2,54,7,27-Apr-2026,0,
ACC-10181,SMB,Standard,5,56,325.53,59,2,24,N/A,Mar 2027,0,
ACC-10182,Mid-Market,Basic,47,24,$75.45,12,4,14,8,2026-11-11,0,
ACC-10183,SMB,Basic,41,18,-,20,1,1,4,2026-12-18,0,
ACC-10184,SMB,Standard,3,6,204.36,34,4,23,5,Aug 2026,1,budget cut
ACC-10185,Mid-Market,Basic,17,1,51.54,28,2,18,6,10/24/2026,1,budget cut
ACC-10186,ENTERPRISE,Basic,30,18,73.11,19,4,12,4,May 2027,1,price
ACC-10187,SMB,Premium,17,35,$784.39,29,0,19,7,2026-12-17,0,
ACC-10188, SMB,Enterprise,32,1,1179.40,43,0,28,4,Apr 2026,0,
ACC-10189,Mid-Market,Enterprise,25,12,"$1,733.93",38,0,13,6,2026-04-26,0,
ACC-10190,Mid-Market,Enterprise,51,13,1766.26,29,3,21,4,20-Jan-2027,0,
ACC-10191,SMB,standard,29,19,253.90,23,0,19,4,2026-02-13,0,
ACC-10192,SMB,Basic,22,3,60.81,12,4,0,8,Jun 2027,1,
ACC-10193,Enterprise,Standard,51,6,161.56,null,3,8,8,12-Aug-2026,0,
ACC-10194,Mid-Market,standard,16,66,378.52,44,3,3,6,05-Jun-2026,0,
ACC-10195,SMB,Standard,18,19,255.31,47,5,18,6,24-Jul-2026,0,
ACC-10196,Mid-Market,Standard,32,14,$228.70,44,0,0,4,01-Jun-2027,0,
ACC-10197,SMB,Basic,38,36,$108.38,11,1,11,10,2026-08-29,0,
ACC-10198,SMB,Basic,19,7,57.95,23,4,124,7,Feb 2026,1,price
ACC-10199,Mid-Market,Premium,56,6,$436.79,45,0,28,8,06/07/2026,0,
ACC-10200,Mid-Market,Enterprise,18,1,"$1,454.84",59,0,4,4,2027-06-12,0,
ACC-10201,SMB,Basic,35,27,86.49,22,2,0,2,28-Jan-2027,1,price
ACC-10202,Mid-Market,Basic,19,7,52.38,9,1,11,4,2027-03-03,1,missing feature
ACC-10203,Mid-Market,Basic,28,6,$48.75,24,0,3,9,Feb 2026,1,switched vendor
ACC-10204,SMB,Premium,10,34,767.12,42,1,34,8,2026-04-01,0,
ACC-10205,SMB,Basic,36,3,61.72,17,1,28,N/A,2026-03-11,1,
ACC-10206,SMB ,Standard,18,30,$243.55,38,0,9,6,2026-01-25,0,
ACC-10207,SMB,Standard,39,8,$173.42,58,0,0,7,Mar 2027,0,
ACC-10208,Mid-Market,basic,24,13,65.03,3,0,5,5,2027-02-16,0,
ACC-10209,Mid-Market,Standard,17,24,249.58,34,1,3,4,05/29/2027,0,
ACC-10210,SMB,Standard,52,12,216.47,39,2,5,10,2026-05-01,0,
ACC-10211,Enterprise,Basic,9,6,51.17,26,4,0,5,Oct 2026,1,missing feature
ACC-10212,Mid-Market,Basic,16,8,$58.37,15,4,29,5,Mar 2027,1,switched vendor
ACC-10213,Mid-Market,Premium,28,23,636.91,40,1,12,4,24-May-2027,0,
ACC-10214,SMB, Basic,30,45,116.23,4,0,2,9,25-May-2026,1,price
ACC-10215,Mid-Market,standard,4,26,274.24,59,0,12,-,04/26/2026,0,
ACC-10216,Mid-Market,STANDARD,20,20,$194.26,62,2,60,,08/17/2026,0,
ACC-10217,SMB,Basic,28,10,67.61,28,1,3,6,22-Jan-2027,0,
ACC-10218,Enterprise,Enterprise,37,9,1720.05,21,4,1,7,2027-04-13,0,
ACC-10219,MID-MARKET,standard,19,4,173.86,45,1,1,7,Jan 2027,0,
ACC-10220,Enterprise,Premium,21,7,461.67,0,0,28,5,Aug 2026,0,
ACC-10221,Mid-Market,Enterprise,22,13,"$1,485.53",57,2,28,4,11-Jun-2026,0,
ACC-10222,Mid-Market,standard,1,7,179.50,48,0,69,3,May 2026,0,
ACC-10223,SMB,Premium,20,22,$613.71,19,5,3,10,2026-07-02,1,missing feature
ACC-10224,Mid-Market,Premium,42,24,578.10,63,1,3,6,12/29/2026,0,
ACC-10225,SMB,Basic ,18,16,76.37,25,2,33,n/a,11/30/2026,0,
ACC-10226,SMB,Standard,40,13,$189.42,14,1,30,2,2026-05-31,1,missing feature
ACC-10227,SMB,Basic,33,8,58.93,12,6,7,9,20-Oct-2026,0,
ACC-10228,SMB,Basic,1,4,$46.69,29,5,11,10,01-May-2027,0,
ACC-10229,Mid-Market,Standard,16,18,202.97,35,3,8,3,12/17/2026,0,
ACC-10230,SMB,Premium,9,1,$450.34,22,4,34,7,08-Jun-2026,1,missing feature
ACC-10231,Enterprise,Standard,46,27,238.46,48,3,14,5,2026-06-30,0,
ACC-10232,SMB,Enterprise,29,18,"$1,862.13",42,2,4,10,13-May-2026,0,
ACC-10233,smb,Basic,33,15,$59.96,19,2,40,6,14-May-2027,1,price
ACC-10234,SMB,Standard,14,18,223.12,33,2,23,4,05-Jun-2026,1,budget cut
ACC-10235,Mid-Market,Basic,24,20,70.90,8,4,4,n/a,Jun 2027,0,
ACC-10236,SMB,Premium,6,3,448.90,51,0,58,5,05-Apr-2027,0,
ACC-10237,Mid-Market,Premium,28,22,737.99,69,1,11,6,14-Jul-2026,0,
ACC-10238,smb,Basic,27,22,81.70,5,0,34,,24-Jun-2026,0,
ACC-10239,Mid-Market,Premium,1,27,779.64,56,1,1,N/A,04/06/2026,0,
ACC-10240,Mid-Market,Standard,41,7,$162.51,34,5,3,7,2026-05-28,0,
ACC-10241,SMB,Basic,14,7,53.68,3,7,8,10,Jan 2027,0,
ACC-10242,SMB,Basic,4,4,57.40,23,2,20,7,Feb 2027,0,
ACC-10243,Mid-Market,Standard,32,12,184.95,80,2,5,8,04/03/2026,0,
ACC-10244,Mid-Market,Standard,18,41,266.92,34,3,3,7,27-May-2026,0,
ACC-10245,SMB,Basic,46,3,61.22,-,0,37,4,05/16/2027,0,
ACC-10246,SMB,Standard,43,10,158.63,38,2,40,4,02-May-2026,0,
ACC-10247,SMB,Basic,40,2,$50.78,15,0,13,8,02-Apr-2026,0,
ACC-10248,Mid-Market,Standard,13,52,296.08,16,4,23,10,10/10/2026,0,
ACC-10249,enterprise,Standard,19,12,179.80,70,1,39,10,2026-06-28,0,
ACC-10250,SMB,Premium,20,56,"$1,022.87",34,5,97,5,03-May-2026,1,price
ACC-10251,Enterprise,Standard,27,6,151.03,38,0,3,8,11/29/2026,0,
ACC-10252,SMB,Premium,35,4,441.54,52,1,2,5,May 2027,0,
ACC-10253,Mid-Market,Basic,21,4,54.22,16,0,3,6,2026-12-06,0,
ACC-10254,SMB,standard,14,5,$175.45,27,2,53,10,2026-12-14,1,
ACC-10255,SMB ,Enterprise,13,9,1668.45,N/A,0,1,6,Jan 2026,0,
ACC-10256,SMB,Basic,28,5,62.61,8,1,104,10,Mar 2026,1,switched vendor
ACC-10257,Mid-Market,Standard,22,4,186.57,34,5,26,6,2026-04-21,1,missing feature
ACC-10258,SMB,Standard,29,11,221.69,33,3,22,10,06-Mar-2027,0,
ACC-10259,Mid-Market,Standard,37,9,$156.67,45,2,14,4,06/29/2026,0,
ACC-10260,Enterprise,Standard,31,9,$212.76,27,2,3,N/A,04/14/2026,0,
ACC-10261,SMB ,Standard,6,20,230.07,53,1,14,3,02/22/2026,0,
ACC-10262,Enterprise,Enterprise,28,133,5622.94,15,0,53,,Dec 2026,0,
ACC-10263,Mid-Market,Premium,33,2,363.76,49,2,3,10,12/01/2026,0,
ACC-10264,Enterprise,Standard,37,43,$340.22,57,1,1,7,03/05/2027,0,
ACC-10265,SMB,Standard,42,4,194.61,14,4,5,5,10/27/2026,0,
ACC-10266, SMB,Premium,41,61,928.23,67,0,12,4,07/01/2026,0,
ACC-10267,Enterprise,Basic,48,96,155.81,19,1,17,5,May 2026,1,missing feature
ACC-10268,Mid-Market, Enterprise,18,1,"$1,070.24",0,1,29,-,2027-05-07,0,
ACC-10269,Mid-Market,Basic,4,7,58.55,17,2,2,10,May 2026,1,missing feature
ACC-10270,Mid-Market,Basic,29,3,$59.58,19,6,10,4,03/01/2026,1,switched vendor
ACC-10271, Mid-Market,Enterprise,16,25,1734.21,68,1,19,5,2027-01-28,0,
ACC-10272,SMB,Standard,34,4,177.08,19,1,24,5,05/18/2027,0,
ACC-10273,SMB,Standard,20,3,173.23,68,1,18,1,2027-06-22,0,
ACC-10274,SMB,Standard,15,35,257.93,32,0,24,2,2027-03-31,0,
ACC-10275,SMB,Basic,38,55,$138.73,13,7,4,9,06/11/2027,1,
ACC-10276,Enterprise,Standard,26,7,188.86,-,0,0,4,2026-01-04,0,
ACC-10277,Mid-Market,Basic,44,18,64.93,28,0,0,5,2026-12-31,0,
ACC-10278,SMB ,Enterprise,52,8,1286.33,67,0,21,null,2026-05-24,0,
ACC-10279,SMB,Enterprise,1,12,1765.45,-,1,39,4,Feb 2027,0,
ACC-10280,SMB,Basic,4,17,67.09,14,0,17,5,03/21/2027,1,switched vendor
ACC-10281,Mid-Market,Basic,12,6,$52.07,8,0,6,,2026-11-29,1,price
ACC-10282,SMB,Enterprise,11,11,1778.66,35,5,20,7,04/06/2027,0,
ACC-10283,SMB,Basic,50,40,101.85,4,1,3,7,2027-02-01,0,
ACC-10284,smb,Premium,1,10,$553.34,16,5,50,2,2027-05-19,1,price
ACC-10285,Mid-Market,Standard,32,3,185.74,51,0,1,,Mar 2027,0,
ACC-10286,Mid-Market,Standard,41,25,$245.73,20,0,64,6,Sep 2026,1,missing feature
ACC-10287, SMB,Standard,1,46,$307.31,58,1,37,null,Sep 2026,0,
ACC-10288,Mid-Market,Basic,8,20,$77.59,3,5,30,6,04/20/2026,0,
ACC-10289,SMB,Standard,45,5,178.93,53,1,14,-,08-Mar-2027,0,
ACC-10290,SMB,BASIC,22,70,121.75,13,3,32, ,10/12/2026,1,
ACC-10291,Mid-Market,Standard,30,97,575.36,40,7,2,5,May 2027,0,
ACC-10292,SMB,Basic,3,8,$69.40,35,1,21,8,03-Feb-2026,0,
ACC-10293,SMB,Basic,41,4,57.30,6,1,23,8,Feb 2026,1,missing feature
ACC-10294,SMB,Basic,20,13,70.48,N/A,0,31,4,26-Dec-2026,0,
ACC-10295,SMB ,Standard,39,4,142.40,0,2,1,7,10-Aug-2026,0,
ACC-10296,Enterprise,Premium,41,22,$692.77,29,3,10,4,Feb 2027,0,
ACC-10297,Mid-Market,Basic ,18,18,82.59,7,1,40,5,07/26/2026,1,switched vendor
ACC-10298,SMB,Premium,19,14,$513.15,16,6,5,n/a,Jan 2026,1,price
ACC-10299,SMB,Standard,20,1,140.55,53,2,1,6,30-Jan-2026,0,
ACC-10300,SMB,Standard,31,12,180.30,56,8,10,5,08-Jun-2026,0,
ACC-10301,Enterprise,Enterprise,8,17,1998.20,26,0,8,8,19-Apr-2026,0,
ACC-10302,SMB,Standard,57,54,368.28,0,1,36,10,2026-06-30,1,
ACC-10303,SMB,Basic,48,10,65.59,16,8,11,5,06-Feb-2027,1,price
ACC-10304,SMB,STANDARD,22,35,$305.61,49,5,47,7,27-Apr-2026,0,
ACC-10305,SMB,Basic,27,8,52.35,16,5,10,,May 2026,0,
ACC-10306,Mid-Market,Basic,46,6,52.02,12,1,21,N/A,04/11/2026,0,
ACC-10307,SMB,Standard,41,18,$248.15,39,0,7,7,Apr 2026,0,
ACC-10308,SMB,Standard,36,1,$170.28,61,1,13,2,02/11/2027,0,
ACC-10309,SMB,Standard,45,13,$185.80,30,3,18,8,10/25/2026,0,
ACC-10310,SMB,Standard,10,22,$261.33,0,2,20, ,Mar 2027,0,
ACC-10311,SMB ,Basic,40,15,69.69,8,2,43,4,Aug 2026,1,switched vendor
ACC-10312,SMB,Basic,1,18,65.22,11,5,29,4,25-Mar-2026,1,missing feature
ACC-10313,SMB,Enterprise,29,12,"$1,532.50",42,0,14,,20-Jun-2027,0,
